VARIABLE_NUEVA	VARIABLE_ORIGINAL	DESCRIPCION
year	AGNO	Año escolar
id	ID	Identificador único
dep	COD_DEPE2	Dependencia administrativa
est	ESTRATO_ANALITICO	Estrato analítico
rural	RURAL_RBD	Indicador de ruralidad
gen	Q001	Género del estudiante
esc01	Q004SQ001	Interés del equipo directivo en opinión de estudiantes
esc02	Q004SQ002	Participación estudiantil en espacios con profesores/directivos
pns01	Q005SQ001	Ideas novedosas para resolver problemas
pns02	Q005SQ002	Persistencia ante dificultades
pns03	Q005SQ003	Valoración de ideas de compañeros
pns04	Q005SQ004	Aprendizaje de errores
cls01	Q006SQ001	Tiempo pasando materia sin participación
cls02	Q006SQ002	Apoyo de profesores
cls03	Q006SQ003	Diversidad de métodos de enseñanza
cls04	Q006SQ004	Aprendizaje de creatividad
cls05	Q006SQ005	Aprendizaje de pensamiento crítico
cls06	Q006SQ006	Aprendizaje de expresión de ideas
cls07	Q006SQ007	Aprendizaje de trabajo en equipo
fac01	Q007SQ001	Frecuencia de trabajo en equipo
fac02	Q007SQ002	Frecuencia de trabajos de investigación
fac03	Q007SQ003	Frecuencia de debates
fac04	Q007SQ004	Frecuencia de fabricación de maquetas/prototipos
fac05	Q007SQ005	Frecuencia de resolución de problemas reales
pro01	Q008SQ001	Profesores acogen sugerencias
pro02	Q008SQ002	Profesores incorporan temas de interés
pro03	Q008SQ003	Proyectos interdisciplinarios
eqh01	Q009SQ001	Uso de computador de escritorio
eqh02	Q009SQ002	Uso de notebook
eqh03	Q009SQ003	Uso de tablet
eqh04	Q009SQ004	Conexión fija a internet
eqh05	Q009SQ005	Uso de teléfono celular
eqh06	Q009SQ006	Uso de consola de videojuegos
edpc	Q010	Edad inicio uso computadores/tablets
celdat	Q011P001	Tiene internet en celular
edcel	Q011P002	Edad primer celular con internet
cel01	Q011P003SQ001	Uso de celular en clases para fines recreativos
cel02	Q011P003SQ002	Uso de celular en clases para actividades educativas
cel03	Q011P003SQ003	Uso de celular para registro de clase
net01	Q012SQ001	Frecuencia uso internet en casa
net02	Q012SQ002	Frecuencia uso internet en casa de amigos/familiares
net03	Q012SQ003	Frecuencia uso internet en escuela/liceo
net04	Q012SQ004	Frecuencia uso internet en centro público
net05	Q012SQ005	Frecuencia uso internet en vía pública
web01	Q013SQ001	Frecuencia uso redes sociales
web02	Q013SQ002	Frecuencia llamadas/videoconferencias
web03	Q013SQ003	Frecuencia ver videos tutoriales
web04	Q013SQ004	Frecuencia búsqueda de información
web05	Q013SQ005	Frecuencia estudio/tareas con internet
web06	Q013SQ006	Frecuencia coordinación tareas con compañeros
web07	Q013SQ007	Frecuencia participación en grupos de opinión
ese01	Q014SQ001	Frecuencia búsqueda/selección información
ese02	Q014SQ002	Frecuencia uso Word/Excel/PowerPoint
ese03	Q014SQ004	Frecuencia uso aplicaciones educativas
ese04	Q014SQ005	Frecuencia pruebas/quizzes digitales
asg01	Q015SQ001	Frecuencia uso dispositivos en Lenguaje
asg02	Q015SQ002	Frecuencia uso dispositivos en Matemática
asg03	Q015SQ003	Frecuencia uso dispositivos en Ciencias
asg04	Q015SQ009	Frecuencia uso dispositivos en Historia
asg05	Q015SQ005	Frecuencia uso dispositivos en Inglés
asg06	Q015SQ006	Frecuencia uso dispositivos en Tecnología
asg07	Q015SQ007	Frecuencia uso dispositivos en Artes/Música
asg08	Q015SQ010	Frecuencia uso dispositivos en Ed. Física
for01	Q016SQ001	Formación en procesadores de texto/planillas
for02	Q016SQ002	Formación en uso de internet
for03	Q016SQ003	Formación en uso de correo electrónico
for04	Q016SQ004	Formación en herramientas colaboración
tec01	Q017P001SQ001	Participación en talleres de programación
tec02	Q017P001SQ002	Participación en talleres de robótica
tec03	Q017P001SQ003	Participación con realidad aumentada
tec04	Q017P001SQ004	Uso de IA (ChatGPT, etc.)
tec05	Q017P001SQ005	Uso de impresoras 3D
prg01	Q017P002SQ001	Uso de Scratch
prg02	Q017P002SQ002	Uso de Code Studio
prg03	Q017P002SQ003	Uso de La Hora del Código
